Temperature -  Density - Specific Heat Capacity -  Thermal Conductivity -  
Kinematic Viscosity -  Expansion Coefficient - Prandtl's Number

0 	1.293 	1.005 	0.0243 	13.30 	3.67 	0.715
20 	1.205 	1.005 	0.0257 	15.11 	3.43 	0.713
40 	1.127 	1.005 	0.0271 	16.97 	3.20 	0.711
60 	1.067 	1.009 	0.0285 	18.90 	3.00 	0.709
80 	1.000 	1.009 	0.0299 	20.94 	2.83 	0.708
100 	0.946 	1.009 	0.0314 	23.06 	2.68 	0.703
