0 	1.293 	1.005 	0.0243 	13.30 	3.67 	0.715
20 	1.205 	1.005 	0.0257 	15.11 	3.43 	0.713
40 	1.127 	1.005 	0.0271 	16.97 	3.20 	0.711
60 	1.067 	1.009 	0.0285 	18.90 	3.00 	0.709
80 	1.000 	1.009 	0.0299 	20.94 	2.83 	0.708
100 	0.946 	1.009 	0.0314 	23.06 	2.68 	0.703
120 	0.898 	1.013 	0.0328 	25.23 	2.55 	0.70
140 	0.854 	1.013 	0.0343 	27.55 	2.43 	0.695
160 	0.815 	1.017 	0.0358 	29.85 	2.32 	0.69
